iter	Passed	Remaining
0	4	941
1	8	813
2	11	734
3	14	699
4	17	678
5	20	657
6	23	640
7	25	619
8	28	605
9	31	596
10	34	586
11	36	575
12	39	567
13	42	560
14	44	550
15	47	542
16	49	536
17	52	531
18	55	526
19	57	521
20	60	517
21	63	514
22	66	515
23	70	513
24	72	508
25	75	505
26	78	503
27	81	499
28	84	496
29	86	492
30	89	489
31	92	485
32	95	481
33	98	478
34	100	475
35	103	471
36	107	472
37	110	472
38	114	472
39	117	469
40	120	467
41	123	464
42	126	461
43	128	457
44	131	452
45	134	449
46	137	446
47	139	442
48	142	439
49	145	435
50	147	431
51	150	428
52	153	424
53	155	420
54	158	416
55	160	413
56	163	409
57	166	406
58	168	402
59	170	398
60	173	395
61	174	388
62	176	384
63	179	381
64	180	374
65	183	372
66	185	368
67	188	365
68	190	361
69	193	358
70	195	355
71	198	352
72	200	349
73	203	346
74	205	343
75	208	339
76	211	337
77	214	334
78	216	331
79	219	328
80	222	326
81	226	326
82	229	323
83	232	321
84	235	318
85	237	315
86	240	312
87	242	309
88	245	306
89	247	303
90	250	300
91	253	297
92	255	293
93	258	291
94	260	288
95	263	285
96	265	282
97	268	279
98	270	276
99	273	273
100	275	270
101	278	267
102	280	264
103	283	261
104	285	258
105	288	255
106	290	252
107	293	249
108	295	247
109	298	244
110	300	241
111	303	238
112	305	235
113	308	232
114	310	229
115	313	227
116	316	224
117	318	221
118	321	218
119	323	215
120	325	212
121	328	209
122	331	207
123	333	204
124	336	201
125	339	199
126	341	196
127	344	193
128	346	190
129	349	188
130	351	185
131	354	182
132	356	179
133	359	177
134	362	174
135	364	171
136	367	168
137	369	166
138	372	163
139	374	160
140	377	157
141	379	155
142	382	152
143	384	149
144	387	146
145	389	144
146	392	141
147	394	138
148	397	135
149	399	133
150	402	130
151	404	127
152	407	125
153	409	122
154	412	119
155	414	117
156	417	114
157	419	111
158	423	109
159	425	106
160	428	103
161	431	101
162	434	98
163	458	100
164	472	100
165	477	97
166	483	95
167	487	92
168	493	90
169	498	87
170	501	85
171	504	82
172	507	79
173	510	76
174	513	73
175	516	70
176	519	67
177	522	64
178	525	61
179	529	58
180	533	56
181	537	53
182	540	50
183	543	47
184	546	44
185	549	41
186	552	38
187	555	35
188	558	32
189	560	29
190	563	26
191	566	23
192	568	20
193	571	17
194	573	14
195	576	11
196	578	8
197	581	5
198	583	2
199	586	0
