iter	Passed	Remaining
0	1	1064
1	2	1164
2	3	1037
3	3	986
4	4	953
5	5	941
6	6	924
7	7	930
8	8	929
9	9	908
10	9	883
11	10	868
12	11	865
13	12	857
14	12	845
15	13	839
16	14	836
17	15	830
18	15	821
19	16	812
20	17	804
21	17	796
22	18	777
23	19	775
24	19	773
25	20	772
26	21	767
27	21	762
28	22	759
29	23	754
30	24	751
31	24	750
32	25	751
33	26	750
34	27	749
35	28	751
36	28	748
37	29	748
38	30	747
39	30	743
40	31	741
41	32	740
42	33	739
43	34	739
44	34	739
45	35	738
46	36	737
47	37	736
48	37	735
49	38	737
50	39	737
51	40	736
52	41	735
53	41	735
54	42	735
55	43	734
56	44	734
57	45	734
58	46	734
59	46	734
60	47	735
61	48	734
62	49	734
63	50	734
64	51	734
65	52	738
66	53	739
67	53	739
68	54	738
69	55	737
70	56	736
71	57	737
72	58	746
73	60	754
74	61	754
75	62	756
76	63	755
77	64	759
78	65	760
79	66	762
80	67	763
81	68	762
82	68	761
83	69	761
84	70	760
85	71	759
86	72	757
87	72	755
88	73	754
89	74	753
90	75	751
91	76	750
92	76	749
93	77	748
94	78	746
95	79	745
96	79	743
97	80	742
98	81	740
99	82	740
100	82	738
101	83	736
102	84	736
103	85	734
104	86	733
105	86	732
106	87	731
107	88	730
108	89	729
109	89	727
110	90	725
111	91	723
112	92	722
113	92	721
114	93	719
115	94	719
116	95	718
117	95	716
118	96	715
119	97	714
120	98	713
121	99	713
122	99	712
123	100	712
124	101	712
125	102	711
126	103	710
127	104	709
128	104	708
129	105	707
130	106	709
131	107	708
132	108	708
133	109	710
134	110	711
135	111	710
136	112	710
137	113	709
138	114	708
139	115	707
140	116	707
141	116	705
142	117	704
143	118	703
144	119	702
145	119	701
146	120	699
147	121	698
148	121	696
149	122	695
150	123	694
151	124	693
152	125	693
153	125	692
154	126	690
155	127	689
156	128	688
157	129	688
158	130	687
159	130	686
160	131	686
161	132	685
162	133	683
163	133	682
164	134	681
165	135	680
166	136	679
167	137	678
168	137	678
169	138	677
170	139	676
171	140	675
172	141	674
173	141	673
174	142	672
175	143	672
176	144	672
177	145	671
178	146	670
179	147	669
180	147	668
181	148	667
182	149	666
183	150	666
184	151	665
185	152	665
186	152	664
187	153	663
188	154	662
189	155	662
190	156	661
191	156	660
192	157	659
193	158	658
194	159	657
195	159	655
196	160	654
197	161	652
198	161	651
199	162	650
200	163	649
201	164	648
202	164	647
203	165	645
204	166	644
205	166	642
206	167	641
207	168	640
208	168	639
209	169	638
210	170	637
211	171	636
212	171	635
213	172	634
214	173	633
215	174	632
216	175	631
217	175	630
218	176	629
219	177	629
220	178	628
221	179	628
222	180	627
223	180	626
224	181	625
225	182	625
226	183	624
227	184	623
228	185	622
229	186	622
230	187	623
231	188	623
232	189	623
233	191	627
234	192	627
235	194	628
236	194	627
237	195	626
238	196	624
239	197	624
240	197	623
241	198	622
242	199	621
243	200	620
244	201	619
245	201	618
246	202	618
247	203	617
248	204	618
249	206	618
250	207	618
251	208	617
252	208	616
253	209	616
254	210	615
255	211	614
256	212	614
257	213	613
258	214	612
259	214	611
260	215	610
261	216	609
262	217	609
263	218	609
264	219	608
265	220	607
266	220	606
267	221	605
268	222	604
269	223	603
270	223	602
271	224	601
272	225	600
273	226	599
274	227	599
275	227	597
276	228	597
277	229	596
278	230	595
279	231	594
280	231	592
281	232	591
282	233	590
283	233	589
284	234	588
285	235	587
286	235	586
287	236	585
288	237	583
289	237	582
290	238	581
291	239	580
292	239	579
293	240	577
294	241	576
295	242	575
296	243	576
297	244	576
298	245	575
299	246	574
300	246	573
301	247	572
302	248	571
303	249	570
304	251	572
305	252	572
306	253	571
307	253	570
308	255	570
309	256	570
310	257	571
311	258	570
312	259	570
313	261	572
314	262	571
315	265	574
316	267	576
317	268	576
318	269	575
319	271	576
320	272	576
321	273	575
322	274	575
323	276	575
324	277	575
325	278	575
326	280	576
327	281	577
328	283	577
329	284	576
330	285	576
331	286	575
332	287	575
333	288	575
334	290	576
335	292	577
336	293	576
337	293	575
338	295	576
339	296	576
340	298	577
341	299	576
342	303	581
343	304	580
344	305	580
345	306	579
346	308	579
347	309	579
348	310	578
349	311	577
350	312	577
351	314	578
352	315	578
353	316	578
354	318	577
355	319	578
356	322	580
357	323	580
358	324	579
359	325	578
360	326	577
361	327	576
362	328	575
363	329	574
364	330	574
365	331	575
366	333	574
367	334	574
368	335	573
369	336	572
370	337	572
371	338	571
372	339	570
373	340	569
374	341	568
375	342	568
376	343	567
377	344	566
378	345	565
379	346	565
380	347	564
381	348	564
382	349	563
383	350	562
384	351	561
385	352	560
386	353	559
387	354	558
388	355	557
389	356	557
390	357	556
391	358	555
392	359	555
393	361	555
394	362	554
395	363	553
396	363	552
397	364	551
398	365	550
399	366	550
400	367	549
401	368	548
402	369	547
403	370	547
404	372	546
405	373	546
406	374	545
407	378	548
408	379	549
409	382	551
410	384	551
411	385	550
412	386	550
413	388	549
414	389	548
415	390	548
416	393	549
417	394	549
418	395	548
419	396	548
420	398	547
421	399	547
422	401	548
423	403	547
424	404	546
425	405	546
426	410	550
427	411	550
428	413	550
429	415	550
430	417	550
431	419	552
432	421	552
433	423	552
434	425	553
435	427	553
436	428	552
437	429	551
438	431	551
439	432	550
440	433	549
441	434	548
442	435	547
443	436	546
444	437	546
445	439	545
446	441	545
447	442	545
448	444	545
449	445	544
450	447	544
451	449	544
452	450	544
453	451	543
454	452	542
455	456	544
456	457	543
457	458	542
458	459	541
459	461	541
460	463	542
461	465	542
462	467	542
463	468	541
464	469	540
465	471	540
466	473	540
467	476	541
468	477	541
469	479	540
470	480	539
471	482	539
472	484	539
473	485	538
474	486	538
475	489	538
476	491	538
477	492	537
478	494	537
479	495	537
480	498	537
481	502	540
482	506	541
483	510	543
484	511	543
485	514	543
486	516	544
487	518	543
488	520	543
489	522	543
490	523	543
491	525	542
492	526	541
493	527	540
494	528	539
495	529	538
496	531	537
497	532	536
498	533	535
499	534	534
500	535	532
501	536	531
502	537	530
503	538	529
504	539	528
505	540	527
506	541	526
507	542	525
508	543	524
509	544	523
510	545	522
511	547	521
512	548	520
513	549	519
514	551	518
515	552	518
516	553	517
517	556	517
518	557	516
519	558	515
520	559	514
521	561	513
522	562	512
523	563	511
524	564	510
525	565	509
526	565	507
527	568	508
528	571	508
529	572	507
530	573	506
531	575	505
532	576	504
533	577	503
534	577	502
535	578	501
536	580	500
537	581	498
538	581	497
539	583	496
540	583	495
541	584	494
542	586	493
543	587	492
544	588	491
545	589	489
546	590	488
547	590	487
548	591	486
549	592	485
550	593	483
551	594	482
552	595	481
553	596	480
554	597	478
555	599	478
556	601	478
557	602	477
558	604	476
559	605	475
560	606	474
561	610	476
562	612	475
563	614	474
564	615	474
565	618	474
